NValues,r1,r2,continousdiff,practicalB3diff
1.600000000000000000e+01,0.000000000000000000e+00,2.999999999999999889e-01,-1.171123086323603957e+01,2.443456535091939941e+01
2.500000000000000000e+01,1.000000000000000000e+00,1.300000000000000044e+00,-2.762366595710028605e+01,1.624041555069385367e+01
3.600000000000000000e+01,2.000000000000000000e+00,2.299999999999999822e+00,-4.933547651228428776e+01,2.527200326497165861e+00
4.900000000000000000e+01,3.000000000000000000e+00,3.299999999999999822e+00,-6.230334274794000748e+01,-1.291785853224274661e+01
6.400000000000000000e+01,4.000000000000000000e+00,4.299999999999999822e+00,-6.874625934060952659e+01,-2.219553363766601706e+01
8.100000000000000000e+01,5.000000000000000000e+00,5.299999999999999822e+00,-7.693631247848594512e+01,-3.631104898325344266e+01
1.000000000000000000e+02,6.000000000000000000e+00,6.299999999999999822e+00,-8.264252030956947692e+01,-4.892901439503003758e+01
1.210000000000000000e+02,7.000000000000000000e+00,7.299999999999999822e+00,-7.968036532134499339e+01,-5.355469598679491128e+01
1.440000000000000000e+02,8.000000000000000000e+00,8.300000000000000711e+00,-7.863793348620370693e+01,-5.933970924069137709e+01
1.690000000000000000e+02,9.000000000000000000e+00,9.300000000000000711e+00,-7.739522406418294054e+01,-6.702312322300946335e+01
1.960000000000000000e+02,1.000000000000000000e+01,1.030000000000000071e+01,-7.461784623619121248e+01,-7.129313315786083649e+01
2.250000000000000000e+02,1.100000000000000000e+01,1.130000000000000071e+01,-7.220861209233349598e+01,-7.599470884721833386e+01
2.560000000000000000e+02,1.200000000000000000e+01,1.230000000000000071e+01,-6.831578224422027290e+01,-7.897982903230584384e+01
2.890000000000000000e+02,1.300000000000000000e+01,1.330000000000000071e+01,-6.477291355051315236e+01,-7.964698707515861997e+01
3.240000000000000000e+02,1.400000000000000000e+01,1.430000000000000071e+01,-6.175438624330959669e+01,-8.072358195601404418e+01
3.610000000000000000e+02,1.500000000000000000e+01,1.530000000000000071e+01,-5.903930598782845607e+01,-8.105700479060809016e+01
4.000000000000000000e+02,1.600000000000000000e+01,1.630000000000000071e+01,-5.562466496917112124e+01,-8.099956531139443427e+01
