User Distance,Double_B1,Double_B2,Double_B3,Single_B1,Single_B2,Single_B3
1.000000000000000000e+01,4.143937728628139894e+01,3.723816544532852646e+01,2.754813603427615476e+01,4.043659681239016379e+01,3.851130825374139732e+01,3.232767783943572226e+01
4.000000000000000000e+01,4.165227540826619901e+01,3.742534228094053361e+01,2.768823453394463741e+01,4.064902576001080092e+01,3.871202109059807839e+01,3.249512299196979370e+01
7.000000000000000000e+01,4.094083747085083047e+01,3.680472622084109702e+01,2.722411766712657766e+01,3.993267217547431613e+01,3.804139989000057653e+01,3.193308005160590213e+01
1.000000000000000000e+02,4.011948928568787665e+01,3.608464894777245036e+01,2.669000607968350636e+01,3.909382855152362168e+01,3.725608980772666001e+01,3.127494217467924997e+01
1.300000000000000000e+02,3.943758891366744734e+01,3.548515527251461066e+01,2.624663505336572911e+01,3.839290772824505638e+01,3.660045416455196943e+01,3.072527947851055075e+01
1.600000000000000000e+02,3.888218292883983196e+01,3.499654269831757603e+01,2.588552318934576135e+01,3.782011340444184810e+01,3.606528407686989368e+01,3.027639657737589829e+01
1.900000000000000000e+02,3.841929182692111056e+01,3.458952519806938852e+01,2.558477700863196702e+01,3.734164521855021235e+01,3.561885345449613993e+01,2.990174298589883506e+01
2.200000000000000000e+02,3.802359097530361254e+01,3.424200541450222346e+01,2.532800398657174412e+01,3.693188103090782448e+01,3.523712028879867120e+01,2.958119421452024511e+01
2.500000000000000000e+02,3.767787683605586579e+01,3.393890843166420979e+01,2.510404949312276557e+01,3.657333442700571879e+01,3.490368247850470595e+01,2.930101608594871720e+01
2.800000000000000000e+02,3.737037138518060431e+01,3.366989867103313117e+01,2.490527565656434561e+01,3.625403519969272281e+01,3.460730669346105515e+01,2.905179794346403455e+01
3.100000000000000000e+02,3.709286949612340578e+01,3.342770734534472155e+01,2.472631665768810905e+01,3.596562834038956424e+01,3.434010805348276563e+01,2.882693063259984712e+01
3.400000000000000000e+02,3.683996620816852641e+01,3.320707462598343795e+01,2.456329681429476608e+01,3.570224814505674971e+01,3.409639921797855777e+01,2.862164456802763723e+01
3.700000000000000000e+02,3.660926302051509396e+01,3.300408741041938043e+01,2.441334515236601277e+01,3.545992429816349301e+01,3.387197222886629788e+01,2.843240966013819104e+01
4.000000000000000000e+02,3.639861856339858548e+01,3.281575560987843687e+01,2.427428953453595284e+01,3.523601024642352542e+01,3.366364213225683955e+01,2.825655393071354027e+01
4.300000000000000000e+02,3.620341363401641388e+01,3.263973468027884905e+01,2.414446142268166895e+01,3.502806631944810789e+01,3.346894938459868030e+01,2.809201460547122053e+01
4.600000000000000000e+02,3.602038682011431092e+01,3.247415525457876839e+01,2.402257248629182840e+01,3.483340371059780693e+01,3.328596065108651203e+01,2.793717118512070030e+01
4.900000000000000000e+02,3.584775970659427458e+01,3.231762541024865953e+01,2.390764029775191091e+01,3.464977793874136580e+01,3.311313216785872271e+01,2.779073060831786179e+01
5.200000000000000000e+02,3.568427539393385217e+01,3.216980311852841368e+01,2.379894082465301963e+01,3.447560690594654176e+01,3.294921390306615905e+01,2.765164642880961665e+01
5.500000000000000000e+02,3.552890709233435018e+01,3.203196158973688057e+01,2.369594605676642374e+01,3.430974588507186240e+01,3.279318094272755957e+01,2.751906080067104554e+01
5.800000000000000000e+02,3.538078458997870968e+01,3.190311344616777589e+01,2.359820490789238079e+01,3.415130558418636042e+01,3.264418342496917091e+01,2.739226216152378512e+01
6.100000000000000000e+02,3.523916642315896297e+01,3.178048031649004912e+01,2.350522897486823837e+01,3.399956066990035453e+01,3.250150936040228089e+01,2.727065401670327915e+01
6.400000000000000000e+02,3.510342083882937203e+01,3.166288846701128890e+01,2.341650824037783707e+01,3.385390327180949299e+01,3.236455658142347858e+01,2.715373182162006671e+01
6.700000000000000000e+02,3.497300875957206046e+01,3.154991713962612110e+01,2.333160515427821835e+01,3.371381585424879290e+01,3.223281129301383885e+01,2.704106600201831512e+01
7.000000000000000000e+02,3.484746838607694741e+01,3.144130356579123742e+01,2.325019182347467606e+01,3.357885305115402730e+01,3.210583150305763667e+01,2.693228981263957422e+01
7.300000000000000000e+02,3.472640188941350203e+01,3.133681415250638480e+01,2.317201325590532690e+01,3.344862823848103517e+01,3.198323414208125470e+01,2.682709098843909956e+01
7.600000000000000000e+02,3.460946430976364496e+01,3.123621148204512821e+01,2.309682577993871178e+01,3.332280298257250450e+01,3.186468503458971213e+01,2.672520569476023056e+01
7.900000000000000000e+02,3.449635445696530667e+01,3.113924328445152767e+01,2.302436154754128950e+01,3.320107847010615387e+01,3.174989111685502507e+01,2.662641160615127944e+01
8.200000000000000000e+02,3.438680747854439801e+01,3.104564573850450060e+01,2.295433966155222549e+01,3.308318845754222082e+01,3.163859444755339112e+01,2.653051409778910497e+01
8.500000000000000000e+02,3.428058875917316328e+01,3.095515790170710346e+01,2.288649660994661517e+01,3.296889347882918742e+01,3.153056765201165135e+01,2.643731839773695924e+01
8.800000000000000000e+02,3.417748886830480615e+01,3.086754023564701299e+01,2.282060257444240037e+01,3.285797613642645842e+01,3.142561049188590516e+01,2.634658663137590295e+01
9.100000000000000000e+02,3.407731933837511207e+01,3.078259077019205847e+01,2.275645786557628014e+01,3.275023732729690806e+01,3.132354726746091345e+01,2.625798812952603001e+01
