User Distance,Double_B1,Double_B2,Double_B3,Single_B1,Single_B2,Single_B3
2.700000000000000000e+01,3.740749602687178310e+01,3.349699570168152007e+01,2.494099481059654977e+01,3.646614474896507829e+01,3.477286711508987338e+01,2.936427854489638634e+01
5.700000000000000000e+01,3.687100919244750230e+01,3.300593107606588461e+01,2.459361924343891914e+01,3.577666160113619753e+01,3.412555814938205145e+01,2.882250302227089733e+01
8.700000000000000000e+01,3.573833403914773044e+01,3.199530065589227590e+01,2.385861218326309086e+01,3.430135649054963665e+01,3.274077798157924235e+01,2.766341802687059470e+01
1.170000000000000000e+02,3.476445982318077910e+01,3.115540727017337375e+01,2.322684178850143866e+01,3.298358882745715448e+01,3.150383040107623955e+01,2.662809823025952127e+01
1.470000000000000000e+02,3.399247993562143932e+01,3.047976666343898700e+01,2.273244557902484431e+01,3.191035248279338532e+01,3.049635949703234772e+01,2.578488847678805485e+01
1.770000000000000000e+02,3.338494000289635011e+01,2.995696122644527293e+01,2.232859098214435178e+01,3.102562410285720418e+01,2.966579442247663678e+01,2.508978471873984617e+01
2.070000000000000000e+02,3.288165315388509669e+01,2.951437248525430235e+01,2.199357092553433546e+01,3.027806231437283202e+01,2.896395831348031891e+01,2.450246120570159292e+01
2.370000000000000000e+02,3.244784787343191823e+01,2.913631862178629106e+01,2.171027461289561700e+01,2.963190567062339653e+01,2.835729552149584265e+01,2.399483152018091303e+01
2.670000000000000000e+02,3.207165650108706956e+01,2.880384116722120424e+01,2.145606504586480767e+01,2.906278678372338220e+01,2.782294345348056908e+01,2.354776035970095549e+01
2.970000000000000000e+02,3.175244660612017356e+01,2.850698188480678752e+01,2.122877244718439371e+01,2.855376690564024500e+01,2.734501140055741431e+01,2.314794856010920299e+01
3.270000000000000000e+02,3.146246266049527662e+01,2.823880215772756941e+01,2.103778645499302868e+01,2.809274331139077319e+01,2.691214781311396465e+01,2.278589660976875209e+01
3.570000000000000000e+02,3.119593099902473909e+01,2.799383986027407545e+01,2.085791860140292897e+01,2.767083413308380813e+01,2.651602502464040256e+01,2.245463606821367364e+01
3.870000000000000000e+02,3.094922779992832318e+01,2.776780704962562751e+01,2.069075538158841354e+01,2.728136233459950333e+01,2.615038640755829391e+01,2.214893167194409784e+01
4.170000000000000000e+02,3.071930706243936271e+01,2.755743757426257545e+01,2.053482463144089110e+01,2.691920078808690064e+01,2.581043255964227257e+01,2.186476708406163283e+01
4.470000000000000000e+02,3.050369357846996010e+01,2.736026412920547557e+01,2.038865583682146365e+01,2.658033839441212010e+01,2.549241502682759375e+01,2.159900420213504191e+01
4.770000000000000000e+02,3.030039320183394125e+01,2.717439883476953000e+01,2.025099937495438596e+01,2.626158489454870804e+01,2.519336014709361748e+01,2.134915127089456277e+01
5.070000000000000000e+02,3.010779730062472836e+01,2.699837191614730258e+01,2.012082302639230846e+01,2.596036504701083203e+01,2.491087648503429719e+01,2.111320101377599556e+01
5.370000000000000000e+02,2.992460202451901452e+01,2.683102481132831230e+01,1.999727709792735553e+01,2.567457193317124009e+01,2.464301710628954112e+01,2.088951502466712995e+01
5.670000000000000000e+02,2.974974542469166749e+01,2.667144083317977632e+01,1.987965841456659177e+01,2.540246047855514178e+01,2.438817845417079155e+01,2.067673955489678050e+01
5.970000000000000000e+02,2.958236067241872291e+01,2.651889927779991396e+01,1.976737801967520625e+01,2.514256934913236208e+01,2.414502413470406594e+01,2.047374321066973124e+01
6.270000000000000000e+02,2.942174240797156415e+01,2.637284028228765109e+01,1.965993299909190384e+01,2.489366440022654459e+01,2.391242631272486818e+01,2.027957036371817523e+01
6.570000000000000000e+02,2.926732248993896590e+01,2.623282544554313844e+01,1.955688324253443255e+01,2.465470175542637321e+01,2.368942049526047811e+01,2.009340607295390413e+01
6.870000000000000000e+02,2.911864951750428077e+01,2.609848244727454869e+01,1.945783465372175058e+01,2.442481597813080185e+01,2.347517135779448694e+01,1.991454951640364612e+01
7.170000000000000000e+02,2.897536378657027711e+01,2.596944517346551962e+01,1.936242922847583614e+01,2.420335064132532921e+01,2.326894790036401162e+01,1.974239368531235783e+01
7.470000000000000000e+02,2.883716070410847010e+01,2.584532578532889957e+01,1.927034006436940317e+01,2.398994511587418543e+01,2.307010596241823208e+01,1.957640962494304304e+01
7.770000000000000000e+02,2.870374822110280633e+01,2.572573142327565066e+01,1.918126800368209928e+01,2.378455952274346430e+01,2.287807578405972464e+01,1.941613393820232147e+01
8.070000000000000000e+02,2.857481982698659095e+01,2.561029064188504023e+01,1.909493719540640910e+01,2.358708168847226361e+01,2.269235249527257992e+01,1.926115863310972642e+01
8.370000000000000000e+02,2.845005810060569829e+01,2.549865901730340312e+01,1.901108817271885698e+01,2.339681200124121574e+01,2.251248810905773468e+01,1.911112268918301993e+01
8.670000000000000000e+02,2.832915616128213898e+01,2.539051088677133805e+01,1.892946764280167571e+01,2.321277594501012587e+01,2.233808435498103506e+01,1.896570493642100530e+01
8.970000000000000000e+02,2.821183383063893757e+01,2.528553547476432328e+01,1.884981391777184356e+01,2.303422662120169306e+01,2.216878618955462699e+01,1.882461799153379545e+01
9.270000000000000000e+02,2.809784038017243901e+01,2.518344015947516112e+01,1.877183854366431248e+01,2.286068160920063264e+01,2.200427601826720903e+01,1.868760309434293632e+01
9.570000000000000000e+02,2.798694984592427915e+01,2.508395146641496964e+01,1.869523145149777221e+01,2.269180505860575536e+01,2.184426867810989847e+01,1.855442574650133025e+01
9.870000000000000000e+02,2.787895608199238140e+01,2.498680579248729927e+01,1.861995987024137023e+01,2.252733146177885715e+01,2.168850717921449700e+01,1.842487208412103783e+01
